feature,n_rows,n_train,n_test,intercept,slope,all_pearson,all_spearman,test_pearson,test_spearman,test_r2,test_mae,test_rmse,draw_id
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19981698901875494,0.5898088550345351,0.8229109797293643,0.7866349767973299,0.8034307019652818,0.772661682329434,0.6338681204357259,0.24394171936968684,0.39749805801852506,50
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19866495171740634,0.5891704903226802,0.8184007699637249,0.7866794079593122,0.7922413115391109,0.7741949721873296,0.615487210724343,0.24710719017366856,0.40735367003347556,51
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1994153533783038,0.5910268394397059,0.8265034583422743,0.7898776568174997,0.7970606023871164,0.780776342529326,0.6258476883582249,0.24192930030833698,0.4018282399261401,52
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19901357949209003,0.5911120884595723,0.821588713824244,0.7874692186457557,0.7948008575804046,0.7748052652390566,0.6156176627509935,0.2470800568577432,0.4072845635938179,53
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19759104975619063,0.5882099021239691,0.8171698287401957,0.7889571279231005,0.7877783399628686,0.7725753755592331,0.60837524271319,0.2493467982007155,0.4111036266819448,54
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19827692513061185,0.5900917609488318,0.8198219385464893,0.7866026402787184,0.7901811187087838,0.7734674645222694,0.6129955565680365,0.24684705381948083,0.40867137066272613,55
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19644456142700023,0.589069037287963,0.8193149330404601,0.7868141323213587,0.7953949347760065,0.7756009084905455,0.6207354906951971,0.2454530582182626,0.40456409899329676,56
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19948842211433365,0.5917277747984688,0.8185798292156552,0.7881432291729115,0.7911484210779574,0.7703449593403884,0.6101200557231546,0.2501923013271698,0.41018680557131,57
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19489944836720102,0.5874496263343709,0.8228067536074507,0.7878421631833623,0.7973106231936242,0.7673232833738789,0.6237171387969574,0.25095864685340796,0.4029706886822338,58
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19533428406740078,0.5873736825458892,0.8197765158798982,0.7860592766553754,0.8017950041362331,0.7768519517863917,0.6322995353243629,0.24241837485939488,0.3983486301565188,59
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19999133733551494,0.5910351804986334,0.822672770773374,0.7862283922250995,0.7840360095544017,0.7695479725703019,0.602892165481166,0.24901873206989625,0.4139715222585587,60
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20046501315773418,0.5903715869676779,0.8250449411011839,0.7870000906767588,0.7906420409787495,0.7725042334009432,0.6097067854315712,0.2481551831612163,0.4104041457102597,61
