country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho,p_value
Brazil,orderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6529898628177909,3.979163707330251e-45
Brazil,severe_disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7761440523635984,1.0837814268519506e-73
Brazil,severe_disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8794241518983031,1.888783483166299e-117
Brazil,severe_disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9332888371052244,2.7111361104560755e-161
Brazil,severe_disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9564729151716704,1.4311754500029184e-193
Germany,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6211526951704428,8.573764115025121e-40
Germany,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7416806199636313,4.6021768064574484e-64
Germany,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8274930104913361,9.267244028613745e-92
Germany,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8841253919140323,2.3790390512477056e-120
Germany,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8574919559564501,2.32382517248116e-105
Germany,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9526485543869936,3.564521095271309e-187
Germany,combined_transition_physical,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9781441214824188,2.7998021002724334e-246
Germany,combined_transition_physical,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.985010686810855,2.4871256449859986e-275
Germany,disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6406093641819525,5.607423894344098e-43
Germany,disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7333093915754351,5.923514829312214e-62
Germany,disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8247455772201446,1.2016383797970779e-90
Germany,disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8840864824115485,2.5171819642995984e-120
Germany,orderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.4104350228826538,4.624431498583316e-16
Germany,orderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5130346635241826,1.4666757849552835e-25
Germany,orderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5915470071998947,2.3475284736253468e-35
Germany,orderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6529898628177909,3.979163707330251e-45
Germany,severe_disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7761440523635984,1.0837814268519506e-73
Germany,severe_disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8794241518983031,1.888783483166299e-117
Germany,severe_disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9332888371052244,2.7111361104560755e-161
Germany,severe_disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9564729151716704,1.4311754500029184e-193
Italy,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.3271937664252762,1.9856708295082269e-10
Italy,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.4963835001015861,8.586876109120033e-24
Italy,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6015940516975767,8.250852366935851e-37
Italy,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6713648399618203,1.6513731735732452e-48
Italy,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7486381707261803,7.020270507129822e-66
Italy,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8833048405276319,7.789250147910987e-120
Italy,combined_transition_physical,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.949655732940326,1.5795070898488307e-182
Italy,combined_transition_physical,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9751446127413534,2.128346917554601e-236
Italy,disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6406093641819525,5.607423894344098e-43
Italy,disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7333093915754351,5.923514829312214e-62
