country,sector,scenario_name,temp_component_raw,drought_component_raw,excess_precip_component_raw,wildfire_component_raw,physical_risk_raw,transition_risk_raw,physical_intensity,transition_intensity,temp_component_scenario,drought_component_scenario,excess_precip_component_scenario,wildfire_component_scenario,transition_component_scenario,raw_shock,shock_index_norm,total_shock,temp_component_share,temp_component_financial_contribution,drought_component_share,drought_component_financial_contribution,excess_precip_component_share,excess_precip_component_financial_contribution,wildfire_component_share,wildfire_component_financial_contribution,transition_component_share,transition_component_financial_contribution,check_sum_financial_contributions,decomposition_error
Brazil,agriculture,disorderly_transition,0.0,1.0,0.0,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.15292134831460694,0.07811011235955063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07811011235955063,0.07811011235955063,0.0
Brazil,agriculture,severe_disorderly_transition,0.0,1.0,0.0,0.0,1.0,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.44999999999999996,0.44999999999999996,0.24467415730337105,0.112976179775281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.112976179775281,0.112976179775281,0.0
Brazil,agriculture,acute_physical_risk,0.0,1.0,0.0,0.0,1.0,0.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5811011235955063,0.24081842696629238,0.0,0.0,1.0,0.24081842696629238,0.0,0.0,0.0,0.0,0.0,0.0,0.24081842696629238,0.0
Brazil,agriculture,combined_transition_physical,0.0,1.0,0.0,0.0,1.0,0.3,1.0,1.0,0.0,1.0,0.0,0.0,0.3,1.3,0.7646067415730347,0.3105505617977532,0.0,0.0,0.7692307692307692,0.2388850475367332,0.0,0.0,0.0,0.0,0.23076923076923075,0.07166551426101997,0.3105505617977532,0.0
Brazil,other_services,orderly_transition,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.02,0.0
Brazil,other_services,disorderly_transition,0.0,0.1,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.030584269662921385,0.03162202247191013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03162202247191013,0.03162202247191013,0.0
Brazil,other_services,severe_disorderly_transition,0.0,0.1,0.0,0.0,0.1,0.1,0.0,1.5,0.0,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.061168539325842784,0.04324404494382026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04324404494382026,0.04324404494382026,0.0
Brazil,other_services,acute_physical_risk,0.0,0.1,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.030584269662921385,0.03162202247191013,0.0,0.0,1.0,0.03162202247191013,0.0,0.0,0.0,0.0,0.0,0.0,0.03162202247191013,0.0
Brazil,other_services,combined_transition_physical,0.0,0.1,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.1,0.0,0.0,0.1,0.2,0.09175280898876417,0.054866067415730385,0.0,0.0,0.5,0.027433033707865193,0.0,0.0,0.0,0.0,0.5,0.027433033707865193,0.054866067415730385,0.0
Germany,fossil_fuels,orderly_transition,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.2752584269662925,0.12459820224719115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12459820224719115,0.12459820224719115,0.0
Germany,fossil_fuels,disorderly_transition,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5811011235955063,0.24081842696629238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24081842696629238,0.24081842696629238,0.0
Germany,fossil_fuels,severe_disorderly_transition,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.8869438202247202,0.35703865168539367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35703865168539367,0.35703865168539367,0.0
Germany,fossil_fuels,acute_physical_risk,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,1.0,1.0,0.0,0.15393093313739822,0.0,0.2,0.0,0.0,0.3539309331373982,0.18591011235955032,0.09064584269662913,0.4349179987544103,0.03942350850102502,0.0,0.0,0.5650820012455898,0.051222334195604124,0.0,0.0,0.0,0.0,0.09064584269662915,-1.3877787807814457e-17
Germany,fossil_fuels,combined_transition_physical,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,1.0,1.0,1.0,0.15393093313739822,0.0,0.2,0.0,1.0,1.353930933137398,0.7975955056179779,0.3230862921348316,0.1136918651978071,0.0367322831726526,0.0,0.0,0.14771802246703217,0.04772566816036317,0.0,0.0,0.7385901123351608,0.23862834080181586,0.32308629213483164,-5.551115123125783e-17
Germany,utilities,orderly_transition,0.4617927994121946,0.0,0.4,0.0,0.8617927994121946,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.21408988764044973,0.1013541573033709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1013541573033709,0.1013541573033709,0.0
Germany,utilities,disorderly_transition,0.4617927994121946,0.0,0.4,0.0,0.8617927994121946,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4587640449438208,0.19433033707865188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19433033707865188,0.19433033707865188,0.0
