interbank_liability_scale,density_label,metric,n_paired_runs,n_seed_clusters,n_common_support_configurations,mean_scale0,mean_current_scale,mean_difference_vs_scale0,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,estimand,inference_status,ci_available,median_difference_vs_scale0,p05_difference_vs_scale0,p95_difference_vs_scale0,share_positive_difference,share_negative_difference,share_numerically_zero_difference
1.0,p50,total_bank_incoming_shortfall,2280,19,19,562.0150961339426,562.2141133193008,0.19901718535809146,0.012104568142585218,0.5335691342227656,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.007456140350877193,0.0,0.9925438596491228
1.0,p50,total_bank_payment_shortfall,2280,19,19,0.0,0.19901718535809143,0.19901718535809143,0.012104568142584145,0.530831497308379,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.007456140350877193,0.0,0.9925438596491228
1.0,p50,mean_loss_to_capital_ratio,2280,19,19,0.4369683208492201,0.4371721052466054,0.00020378439738530534,1.1716779862995932e-05,0.0005592404765941132,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.007456140350877193,0.0,0.9925438596491228
1.0,p50,median_loss_to_capital_ratio,2280,19,19,0.3437221950434674,0.3439432628350999,0.00022106779163235998,1.736337035951135e-06,0.0005517403633503726,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.005701754385964913,0.0,0.9942982456140351
1.0,p50,max_loss_to_capital_ratio,2280,19,19,1.3046928201151056,1.3047519215690118,5.91014539055492e-05,0.0,0.00017513796406494584,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.002631578947368421,0.0,0.9973684210526316
1.0,p50,shocked_vulnerable_25_banks,2280,19,19,8.856140350877194,8.856140350877194,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p50,shocked_vulnerable_50_banks,2280,19,19,5.625877192982456,5.625877192982456,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p50,shocked_bank_capital_breaches,2280,19,19,2.5820175438596493,2.5820175438596493,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p50,firm_to_bank_incoming_shortfall,2280,19,19,562.0150961339426,562.0150961339426,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.0,p50,bank_to_bank_incoming_shortfall,2280,19,19,0.0,0.19901718535809163,0.19901718535809163,0.012104568142584237,0.5338754101806829,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.007456140350877193,0.0,0.9925438596491228
1.0,p50,bank_to_bank_shortfall_share,2280,19,19,0.0,7.871308205676734e-05,7.871308205676734e-05,4.507876184913202e-06,0.00021114319774722136,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.007456140350877193,0.0,0.9925438596491228
1.5,p05,total_bank_incoming_shortfall,120,1,1,599.4218347630556,600.2103818250836,0.7885470620279117,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.17334546035996246,0.1,0.0,0.9
1.5,p05,total_bank_payment_shortfall,120,1,1,0.0,0.7885470620278997,0.7885470620278997,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.17334546035972082,0.1,0.0,0.9
1.5,p05,mean_loss_to_capital_ratio,120,1,1,0.4410589959873814,0.44221150557818517,0.0011525095908037132,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.0002533549552173774,0.1,0.0,0.9
1.5,p05,median_loss_to_capital_ratio,120,1,1,0.3507361891866888,0.3507361891866887,0.0,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p05,max_loss_to_capital_ratio,120,1,1,1.2277075894736276,1.2507577812897026,0.023050191816074424,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.005067099104348969,0.1,0.0,0.9
1.5,p05,shocked_vulnerable_25_banks,120,1,1,9.083333333333334,9.083333333333334,0.0,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p05,shocked_vulnerable_50_banks,120,1,1,5.975,5.975,0.0,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p05,shocked_bank_capital_breaches,120,1,1,2.6166666666666667,2.6166666666666667,0.0,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p05,firm_to_bank_incoming_shortfall,120,1,1,599.4218347630557,599.4218347630557,0.0,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p05,bank_to_bank_incoming_shortfall,120,1,1,0.0,0.7885470620278997,0.7885470620278997,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.17334546035972082,0.1,0.0,0.9
1.5,p05,bank_to_bank_shortfall_share,120,1,1,0.0,0.000322053128116525,0.000322053128116525,,,mean_of_seed_level_means,descriptive_only,False,0.0,0.0,0.00010230832878072995,0.1,0.0,0.9
1.5,p15,total_bank_incoming_shortfall,960,8,8,535.0237720852521,543.8985088313259,8.87473674607383,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,48.34803631400837,0.2916666666666667,0.0,0.7083333333333334
1.5,p15,total_bank_payment_shortfall,960,8,8,0.0,8.874736746073838,8.874736746073838,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,48.3480363140084,0.2916666666666667,0.0,0.7083333333333334
1.5,p15,mean_loss_to_capital_ratio,960,8,8,0.4084359508951789,0.4194400250433864,0.011004074148207357,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.07497308724124707,0.2916666666666667,0.0,0.7083333333333334
1.5,p15,median_loss_to_capital_ratio,960,8,8,0.328847308814936,0.3394096470751468,0.010562338260210823,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.08077094285650332,0.16041666666666668,0.0,0.8395833333333333
1.5,p15,max_loss_to_capital_ratio,960,8,8,1.2279402135218318,1.2664249286539633,0.03848471513213133,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.1686111866298359,0.096875,0.0,0.903125
1.5,p15,shocked_vulnerable_25_banks,960,8,8,8.571874999999999,8.619791666666666,0.04791666666666666,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.04791666666666667,0.0,0.9520833333333333
1.5,p15,shocked_vulnerable_50_banks,960,8,8,5.313541666666667,5.390625,0.07708333333333334,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,1.0,0.075,0.0,0.925
1.5,p15,shocked_bank_capital_breaches,960,8,8,2.371875,2.46875,0.096875,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,1.0,0.08229166666666667,0.0,0.9177083333333333
1.5,p15,firm_to_bank_incoming_shortfall,960,8,8,535.0237720852522,535.0237720852522,0.0,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p15,bank_to_bank_incoming_shortfall,960,8,8,0.0,8.874736746073847,8.874736746073847,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,48.34803631400844,0.2916666666666667,0.0,0.7083333333333334
1.5,p15,bank_to_bank_shortfall_share,960,8,8,0.0,0.007321670913010989,0.007321670913010989,,,mean_of_seed_level_means,exploratory_too_few_clusters,False,0.0,0.0,0.039976454307306085,0.2916666666666667,0.0,0.7083333333333334
1.5,p30,total_bank_incoming_shortfall,1800,15,15,561.1969962410674,565.9633445653318,4.766348324264505,2.0595329501440327,8.317318555863112,mean_of_seed_level_means,main_inference,True,0.0,0.0,30.8802542030847,0.14833333333333334,0.0,0.8516666666666667
1.5,p30,total_bank_payment_shortfall,1800,15,15,0.0,4.766348324264495,4.766348324264495,2.024194637445347,8.363225700384048,mean_of_seed_level_means,main_inference,True,0.0,0.0,30.88025420308452,0.14833333333333334,0.0,0.8516666666666667
1.5,p30,mean_loss_to_capital_ratio,1800,15,15,0.4352826008425996,0.4392241453229788,0.003941544480379067,0.0017648493641449995,0.006650535226382419,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.022712082876680313,0.14833333333333334,0.0,0.8516666666666667
1.5,p30,median_loss_to_capital_ratio,1800,15,15,0.3461943904253381,0.35110737537625486,0.0049129849509164745,0.001586862169054779,0.009510212341209663,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.026490992500950328,0.09833333333333333,0.0,0.9016666666666666
1.5,p30,max_loss_to_capital_ratio,1800,15,15,1.319209119009674,1.3252299929333209,0.006020873923646627,0.00036153859042609425,0.012771310178420488,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.041666666666666664,0.0,0.9583333333333334
1.5,p30,shocked_vulnerable_25_banks,1800,15,15,8.886666666666667,8.928333333333335,0.041666666666666664,0.0038888888888888888,0.09611111111111109,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.028333333333333332,0.0,0.9716666666666667
1.5,p30,shocked_vulnerable_50_banks,1800,15,15,5.6322222222222225,5.676666666666666,0.04444444444444444,0.0077777777777777776,0.10055555555555555,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.03166666666666667,0.0,0.9683333333333334
1.5,p30,shocked_bank_capital_breaches,1800,15,15,2.583333333333334,2.612777777777778,0.029444444444444447,0.01111111111111111,0.05555555555555556,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.02666666666666667,0.0,0.9733333333333334
1.5,p30,firm_to_bank_incoming_shortfall,1800,15,15,561.1969962410674,561.1969962410674,0.0,0.0,0.0,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.0,0.0,0.0,1.0
1.5,p30,bank_to_bank_incoming_shortfall,1800,15,15,0.0,4.766348324264501,4.766348324264501,2.0219435238115055,8.480217398877372,mean_of_seed_level_means,main_inference,True,0.0,0.0,30.880254203084547,0.14833333333333334,0.0,0.8516666666666667
1.5,p30,bank_to_bank_shortfall_share,1800,15,15,0.0,0.003200811935586308,0.003200811935586308,0.0010750296849498177,0.006336204708007082,mean_of_seed_level_means,main_inference,True,0.0,0.0,0.02571003527098874,0.14833333333333334,0.0,0.8516666666666667
1.5,p50,total_bank_incoming_shortfall,1560,13,13,563.5260662100028,566.7598835325891,3.2338173225862823,0.7969097081262769,6.9136851931955645,mean_of_seed_level_means,main_inference,True,0.0,0.0,19.79606038603606,0.10576923076923077,0.0,0.8942307692307693
