country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho
Germany,orderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5130346635241826
Germany,orderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.47875182955853995
Germany,orderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5915470071998947
Germany,orderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5336229075492599
Germany,orderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.652989862817791
Germany,severe_disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6259641862444393
Germany,severe_disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7761440523635984
Germany,severe_disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.706274399382867
Germany,severe_disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.879424151898303
Germany,severe_disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.759108995182576
Germany,severe_disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9332888371052245
Germany,severe_disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7860948001141983
Germany,severe_disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9564729151716704
Italy,acute_physical_risk,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.17825777697535647
Italy,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.3271937664252762
Italy,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.31117303940859653
Italy,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.49638350010158616
Italy,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3979339378010177
Italy,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6015940516975767
Italy,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.4502486519301094
Italy,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6713648399618203
Italy,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6887145962326574
Italy,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7486381707261802
Italy,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8125483743797149
Italy,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8833048405276319
Italy,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8744622515091421
Italy,combined_transition_physical,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9496557329403261
Italy,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.9005318971082596
Italy,combined_transition_physical,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9751446127413534
Italy,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103
Italy,disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6406093641819525
Italy,disorderly_transition,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5958422462228388
Italy,disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.733309391575435
Italy,disorderly_transition,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6624148735812562
Italy,disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8247455772201446
Italy,disorderly_transition,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.7134748154869275
Italy,disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8840864824115484
Italy,orderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3430396727557177
Italy,orderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.41043502288265377
